ORIGIN,STATE,CITY,LOCAL,IATA,IDENT,NAME
JFK,NY,New York,JFK,JFK,KJFK,John F Kennedy International Airport
SUX,IA,Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport / Brigadier General Bud Day Field
PAH,KY,Paducah,PAH,PAH,KPAH,Barkley Regional Airport
ANC,AK,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport
DAB,FL,Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport
GNV,FL,Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport
MSO,MT,Missoula,MSO,MSO,KMSO,Missoula International Airport
CYS,WY,Cheyenne,CYS,,KCYS,Cheyenne Regional Jerry Olson Field
PHL,PA,Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport
OGG,HI,Kahului,OGG,OGG,PHOG,Kahului Airport
PGD,FL,Punta Gorda,PGD,PGD,KPGD,Charlotte County Airport
DSM,IA,Des Moines,DSM,DSM,KDSM,Des Moines International Airport
FOE,KS,Topeka,FOE,FOE,KFOE,Topeka Regional Airport
SLC,UT,Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport
SAT,TX,San Antonio,SAT,SAT,KSAT,San Antonio International Airport
STT,,,,,,
RAP,SD,Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport
ASE,CO,Aspen,ASE,ASE,KASE,Aspen-Pitkin Co/Sardy Field
SBP,CA,San Luis Obispo,SBP,SBP,KSBP,San Luis County Regional Airport
CLD,CA,Carlsbad,CRQ,CLD,KCRQ,McClellan-Palomar Airport
FNL,CO,Loveland,FNL,FNL,KFNL,Northern Colorado Regional Airport
